个体ID,rho_initial,rho_final,rho_change,rho_change_pct,tau_initial,tau_final,tau_change,tau_change_pct,reward_initial,reward_final,reward_change,reward_change_pct
36,0.03062659078501426,0.02885879260672244,-0.0017677981782918198,-5.7721023887412635,0.9809744358062744,0.92368483543396,-0.05728960037231445,-5.840070676788581,2.370989322662353,2.498660802841187,0.1276714801788339,5.384734505487914
37,0.02412098962836067,0.03919795095891852,0.015076961330557852,62.505566988971516,0.9795715808868408,0.9168121218681335,-0.06275945901870728,-6.4068272542052425,2.374243259429932,2.497013092041016,0.12276983261108398,5.1709037026206675
38,0.02601544185330471,0.03296297863639343,0.0069475367830887196,26.70543449642076,0.9770814180374146,0.8529419302940369,-0.12413948774337769,-12.705132392418921,2.374703407287598,2.502640962600708,0.1279375553131099,5.38751723354122
39,0.03059058370760737,0.03958695540378789,0.008996371696180522,29.40895728623601,0.9738954901695251,0.8833158612251282,-0.09057962894439697,-9.300754532565897,2.375869274139404,2.493178844451904,0.1173095703125,4.937543137973881
40,0.03221539973998623,0.03866364788976041,0.006448248149774176,20.01604264363827,0.9780392050743104,0.8773937225341797,-0.10064548254013073,-10.29053661836427,2.372809648513794,2.499463796615601,0.12665414810180708,5.337728973798498
41,0.03051410484356991,0.0380449655503481,0.007530860706778192,24.67993324852567,0.968208074569702,0.8340672850608826,-0.13414078950881947,-13.85454150115772,2.361137866973877,2.502714157104492,0.14157629013061523,5.996104340661171
42,0.02965305515283528,0.03748438994704911,0.007831334794213832,26.409874982022007,0.97508704662323,0.898201584815979,-0.07688546180725098,-7.884984430211514,2.36720085144043,2.499271154403687,0.13207030296325684,5.579176050181492
43,0.02909668891323213,0.04179887812463058,0.01270218921139845,43.655101957741834,0.9643263816833496,0.8794661164283752,-0.08486026525497437,-8.79995267855686,2.369768619537353,2.507241010665894,0.13747239112854093,5.801089186309652
44,0.02556443402889771,0.03321513298959972,0.007650698960702012,29.927120436359978,0.9607375860214232,0.8848684430122375,-0.07586914300918568,-7.896968341102655,2.372926712036133,2.497826814651489,0.124900102615356,5.263546572333168
45,0.02784046737481587,0.03325619138741476,0.0054157240125988874,19.452705084606023,0.9813716411590576,0.9048908948898317,-0.07648074626922596,-7.793250086062983,2.369394063949585,2.495974540710449,0.12658047676086426,5.342314251849902
46,0.02861808368712064,0.0330323175614484,0.0044142338743277595,15.424631231735313,0.9514191746711732,0.8868489265441895,-0.06457024812698375,-6.786729744993876,2.370696544647217,2.496396780014038,0.1257002353668213,5.302249064758591
47,0.03317136667865675,0.03777544656007063,0.004604079881413883,13.879681009273154,0.9683291912078856,0.8674997687339783,-0.10082942247390736,-10.412721560953212,2.379803657531738,2.498255014419556,0.11845135688781827,4.977358384711137
48,0.03103085486870538,0.03110251596724744,7.166109854206057e-05,0.23093498018429004,0.9967098236083984,0.9135864973068236,-0.08312332630157482,-8.339771950941811,2.371729135513306,2.507792949676514,0.136063814163208,5.736903600240174
49,0.02471087953391179,0.03803350060163229,0.013322621067720499,53.91398978509567,0.935669720172882,0.8963326215744019,-0.039337098598480114,-4.20416496872549,2.369050741195679,2.5027916431427,0.13374090194702104,5.645337164856204
50,0.03097225190818438,0.03413467945169998,0.003162427543515596,10.210518605138711,0.9927520155906676,0.9197120666503906,-0.07303994894027699,-7.35732063931592,2.371279001235962,2.500971555709839,0.12969255447387695,5.4693080993960805
51,0.02884475315875105,0.03179686080393408,0.002952107645183031,10.234470126805045,0.971523642539978,0.8969711065292358,-0.07455253601074219,-7.673774754037894,2.374159812927246,2.496566772460937,0.12240695953369096,5.1558011751015185
52,0.02796923399908212,0.03176719730733091,0.003797963308248789,13.579075166568483,0.9416106343269348,0.8483801484107971,-0.0932304859161377,-9.901171728246148,2.363864421844482,2.501178979873657,0.1373145580291748,5.8089015918277855
53,0.0318350288665226,0.03260967871094177,0.0007746498444191688,2.4333254028671005,1.000853538513184,0.8845444321632385,-0.11630910634994551,-11.620991671041926,2.366019487380981,2.497970104217529,0.13195061683654785,5.576903214039374
54,0.03309299856748785,0.03054187225441884,-0.0025511263130690055,-7.708960878435944,0.9590164422988892,0.9101853966712952,-0.048831045627593994,-5.091783985532044,2.374078035354614,2.507235527038574,0.1331574916839604,5.608808543821551
55,0.03279384035734859,0.03654238629702068,0.003748545939672089,11.430640323990287,0.9760842323303224,0.8939237594604492,-0.08216047286987316,-8.417354788502388,2.36335825920105,2.504837274551392,0.14147901535034224,5.986355001385623
56,0.02748234743033208,0.03755537259332922,0.010073025162997143,36.652710211645214,0.9954394102096558,0.9091488122940063,-0.08629059791564941,-8.668593691450814,2.375511169433594,2.499676942825317,0.12416577339172274,5.226907580541003
57,0.02907236287244636,0.0378760203118203,0.008803657439373943,30.281877940226533,0.9689996242523192,0.9708120226860046,0.0018123984336854138,0.1870380945796405,2.366080522537231,2.500889301300049,0.13480877876281783,5.697556675639156
58,0.03099379029421069,0.03312054785261905,0.002126757558408361,6.8618827778724985,0.9500079154968262,0.9416413903236388,-0.008366525173187367,-0.8806795224239706,2.368478536605835,2.500962257385254,0.13248372077941895,5.593621336728502
